Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0j2T0R9dR9qdJYsB7ciXhf,9766f4be1e5d4ea4a8be9904dcc55984,2026-02-28T18:14:19Z,0,Biggi. ,ee1e5dc806a449acadff0e847f83d274
spotify:track:27xqsgm4fzBtEnd6V2B7bW,9766f4be1e5d4ea4a8be9904dcc55984,2026-02-28T18:14:19Z,-2,Vá hvað þetta er leiðinlegt lag. Lætur mig hata. Stebbi. ,ee1e5dc806a449acadff0e847f83d274
spotify:track:2A7IJnBcu2OD0piARVu82U,9766f4be1e5d4ea4a8be9904dcc55984,2026-02-28T18:14:19Z,-1,What? Einar. ,ee1e5dc806a449acadff0e847f83d274
spotify:track:3gqHCUYOhTAWJDE4CAIde3,9766f4be1e5d4ea4a8be9904dcc55984,2026-02-28T18:14:19Z,7,Negla. Grímur. ,ee1e5dc806a449acadff0e847f83d274
spotify:track:4fPBB44eDH71YohayI4eKV,9766f4be1e5d4ea4a8be9904dcc55984,2026-02-28T18:14:19Z,0,Get ekki Strokes! Jónas,ee1e5dc806a449acadff0e847f83d274
spotify:track:5NLuC70kZQv8q34QyQa1DP,9766f4be1e5d4ea4a8be9904dcc55984,2026-02-28T18:14:19Z,6,This is true. Óli. ,ee1e5dc806a449acadff0e847f83d274
spotify:track:5Rizj5FLb2AyNKu9esjYY6,9766f4be1e5d4ea4a8be9904dcc55984,2026-02-28T18:14:19Z,1,Bjarni. ,ee1e5dc806a449acadff0e847f83d274
spotify:track:63jDcVB4jsCVAPDry1eAxN,9766f4be1e5d4ea4a8be9904dcc55984,2026-02-28T18:14:19Z,6,Spot on theme. Ævar. ,ee1e5dc806a449acadff0e847f83d274
spotify:track:6dqtXAD7TqlhZVroaUigVC,9766f4be1e5d4ea4a8be9904dcc55984,2026-02-28T18:14:19Z,-5,Nei Eiríkur!,ee1e5dc806a449acadff0e847f83d274
spotify:track:79mYNfvMefhmL5IqRmUnCK,9766f4be1e5d4ea4a8be9904dcc55984,2026-02-28T18:14:19Z,-2,Leiðinlegt lag. AK. ,ee1e5dc806a449acadff0e847f83d274
spotify:track:0bZelokqNQicLQfLU1Ayw8,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,3,Þetta intro á fyrsta lagi fyrsta playlistans er þriggja stiga virði. Eru ungir sjálfstæðismenn gerðir úr steini? Ekki viss. Tengi þá frekar við repjuolíu og malbiksblæðingar. Styrmir.,ee1e5dc806a449acadff0e847f83d274
spotify:track:0j2T0R9dR9qdJYsB7ciXhf,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,0,"Í upphafi var orðið, og orðið var hjá Ye. Fyrst Kabalar voru ekki lausir þá greip okkar maður bara í fyrstu blaðsíðu í biblíunni sinni og henti Kanye á fóninn. Ég ber virðingu fyrir því, eins og ég ber virðingu fyrir Bigga. ",ee1e5dc806a449acadff0e847f83d274
spotify:track:27xqsgm4fzBtEnd6V2B7bW,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,0,"Söguhetjan í þessari ódysseifskviðu veit ekki hvað Sjálfstæðisflokkurinn er, Jónas.",ee1e5dc806a449acadff0e847f83d274
spotify:track:2A7IJnBcu2OD0piARVu82U,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,-4,"Graðhestarokk með söngvari sem spilaði handbolta fyrir 30 árum og kemur alltaf fram í stuttbuxum. Þvílíka hörmungin. Sorrí, Einar Páll.",ee1e5dc806a449acadff0e847f83d274
spotify:track:3gqHCUYOhTAWJDE4CAIde3,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,5,Geir var jafn fljótur að klára og maður sem kom heim með spólu sem hann valdi úr möppu á vídeóleigunni og komst ekki einu sinni í gegnum trailerana.,ee1e5dc806a449acadff0e847f83d274
spotify:track:4fPBB44eDH71YohayI4eKV,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,2,"Grímur og The Strokes. Bragðarefur með vanilluís, banana, rúsínum og auka banana. Gott lag samt.",ee1e5dc806a449acadff0e847f83d274
spotify:track:5NLuC70kZQv8q34QyQa1DP,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,-3,"Að líkja hinni heilögu bandalagi Beastie Boys, sem eiga rætur í New York pönki, við unga sjálfstæðismenn jafnast á við stríðsglæp. Do better, Bjarni.",ee1e5dc806a449acadff0e847f83d274
